district_code,district_name,localbody_code,localbody_name
309,DARJEELING,260990,PERMAGURITAMSANG
703,Jhargram,110357,PETBINDHI
308,COOCHBEHAR,108964,PETLA
309,DARJEELING,109168,PHANSIDEWA BANSGAON KISMAT
303,24 PARAGANAS NORTH,107842,PIFA
306,PURBA BARDHAMAN,108721,PILLA
306,PURBA BARDHAMAN,108586,PINDIRA
321,PURULIA,111101,PINDRA
318,MEDINIPUR WEST,110480,PINDURUI
318,MEDINIPUR WEST,110329,PINGBANI
306,PURBA BARDHAMAN,108669,PIPALAN
320,NADIA,110796,PIPRAGACHHI
320,NADIA,110839,PIPULBARIA
317,MEDINIPUR EAST,110219,PIPULBERIA-I
317,MEDINIPUR EAST,110220,PIPULBERIA-II
305,BANKURA,108335,PIRRABONI
321,PURULIA,111084,PIRRAH
318,MEDINIPUR WEST,110330,PIYASALA
320,NADIA,110830,PLASSEY-I
320,NADIA,110831,PLASSEY-II
309,DARJEELING,260991,PLUNGDUNG
311,DINAJPUR UTTAR,109278,POKHARIA
702,KALIMPONG,260979,POKHREYBONG
309,DARJEELING,260992,POKHRIABONG-I
309,DARJEELING,260993,POKHRIABONG-II
309,DARJEELING,260994,POKHRIABONG-III
312,HOOGHLY,109509,POLBA
312,HOOGHLY,109468,POLE-I
312,HOOGHLY,109469,POLE-II
304,24 PARAGANAS SOUTH,108280,POLEGHAT
313,HOWRAH,109633,POLEGUSTIA
304,24 PARAGANAS SOUTH,108025,POLERHAT-I
304,24 PARAGANAS SOUTH,108026,POLERHAT-II
320,NADIA,110868,PORAGACHHA
318,MEDINIPUR WEST,110267,POROLDA
306,PURBA BARDHAMAN,108545,POTNA-PURSA
304,24 PARAGANAS SOUTH,108015,PRANGANJ
319,MURSHIDABAD,110679,PRASADPUR
304,24 PARAGANAS SOUTH,108154,PRATAPADITYANAGAR
319,MURSHIDABAD,110750,PRATAPGANJ
304,24 PARAGANAS SOUTH,108281,PRATAPNAGAR
704,PASCHIM BARDHAMAN,108538,PRATAPPUR
317,MEDINIPUR EAST,110158,PRATAPPUR-I
317,MEDINIPUR EAST,110159,PRATAPPUR-II
308,COOCHBEHAR,108992,PREMERDANGA
303,24 PARAGANAS NORTH,107901,PRITHIBA
321,PURULIA,110958,PUARA
309,DARJEELING,261056,PUBANG-RAMPURIA
305,BANKURA,108425,PUDDI
702,KALIMPONG,261009,PUDUNG
316,MALDAH,109998,PUKHURIA
317,MEDINIPUR EAST,110095,PULSHITA
321,PURULIA,111085,PUNCHA
704,PASCHIM BARDHAMAN,108500,PUNCHRAH
310,DINAJPUR DAKSHIN,109213,PUNDARI
308,COOCHBEHAR,108934,PUNDIBARI
305,BANKURA,108398,PUNISOLE
307,BIRBHUM,108830,PURANAGRAM
305,BANKURA,108300,PURANDARPUR
319,MURSHIDABAD,110648,PURANDARPUR
307,BIRBHUM,108922,PURANDARPUR
304,24 PARAGANAS SOUTH,108037,PURBA BISHNUPUR
664,Alipurduar,109715,PURBA KANTHALBARI
303,24 PARAGANAS NORTH,107816,PURBA KHILKAPUR
305,BANKURA,108459,PURBA-NABASAN
312,HOOGHLY,109550,PURBARAMNAGAR
306,PURBA BARDHAMAN,108722,PURBASTHALI
312,HOOGHLY,109517,PURSURAH-I
312,HOOGHLY,109518,PURSURAH-II
317,MEDINIPUR EAST,110160,PURUSOTTAMPUR
321,PURULIA,111018,PUSTI
308,COOCHBEHAR,108949,PUTIMARI-FULESWARI
308,COOCHBEHAR,108965,PUTIMARI-I
308,COOCHBEHAR,108966,PUTIMARI-II
306,PURBA BARDHAMAN,108670,PUTSURI
312,HOOGHLY,109449,PYANTRA
304,24 PARAGANAS SOUTH,108155,RABINDRA
317,MEDINIPUR EAST,110161,RADHABALLAVCHAK
304,24 PARAGANAS SOUTH,108239,RADHAKANTAPUR
305,BANKURA,108460,RADHAMOHANPUR
318,MEDINIPUR WEST,110306,RADHAMOHANPUR-I
318,MEDINIPUR WEST,110307,RADHAMOHANPUR-II
703,Jhargram,110385,RADHANAGAR
305,BANKURA,108477,RADHANAGAR
312,HOOGHLY,109457,RADHANAGAR
304,24 PARAGANAS SOUTH,108125,RADHANAGAR-TARANAGAR
313,HOWRAH,109672,RADHAPUR
317,MEDINIPUR EAST,110020,RADHAPUR
319,MURSHIDABAD,110549,RADHARGHAT-I
319,MURSHIDABAD,110550,RADHARGHAT-II
311,DINAJPUR UTTAR,109318,RADHIKAPUR
321,PURULIA,111102,RAGHABPUR
312,HOOGHLY,109425,RAGHUBATI
313,HOWRAH,109660,RAGHUDEBBATI
313,HOWRAH,109706,RAGHUDEVPUR
317,MEDINIPUR EAST,110162,RAGHUNATHBARI
312,HOOGHLY,109540,RAGHUNATHPUR
303,24 PARAGANAS NORTH,107795,RAGHUNATHPUR
305,BANKURA,108347,RAGHUNATHPUR
320,NADIA,110942,RAGHUNATHPUR
320,NADIA,110921,RAGHUNATHPUR HIJULI-I
320,NADIA,110922,RAGHUNATHPUR HIJULI-II
317,MEDINIPUR EAST,110202,RAGHUNATHPUR-I
317,MEDINIPUR EAST,110203,RAGHUNATHPUR-II
703,Jhargram,110511,RAGRAH
320,NADIA,110850,RAHAMATPUR
321,PURULIA,111063,RAIBANDH
664,Alipurduar,109792,RAIDAK
304,24 PARAGANAS SOUTH,108240,RAIDIGHI
319,MURSHIDABAD,110626,RAIPUR
319,MURSHIDABAD,110699,RAIPUR
319,MURSHIDABAD,110608,RAIPUR
305,BANKURA,108419,RAIPUR
317,MEDINIPUR EAST,110037,RAIPUR-PASCHIMBARH
307,BIRBHUM,108759,RAIPUR-SUPUR
664,Alipurduar,109783,RAJABHATKHAWA
314,JALPAIGURI,109815,RAJADANGA
305,BANKURA,108426,RAJAKATA
319,MURSHIDABAD,110729,RAJAPUR
304,24 PARAGANAS SOUTH,108138,RAJAPUR KORABEG
304,24 PARAGANAS SOUTH,108172,RAJARAMPUR
303,24 PARAGANAS NORTH,107949,RAJARHAT BISHNUPUR-I
303,24 PARAGANAS NORTH,107950,RAJARHAT BISHNUPUR-II
320,NADIA,110832,RAJARMPUR GHORAIKHETRA
312,HOOGHLY,109458,RAJBALHAT-I
312,HOOGHLY,109459,RAJBALHAT-II
319,MURSHIDABAD,110551,RAJDHARPARA
303,24 PARAGANAS NORTH,107852,RAJENDRAPUR
307,BIRBHUM,108839,RAJGRAM
312,HOOGHLY,109510,RAJHAT
312,HOOGHLY,109482,RAJHATI-I
312,HOOGHLY,109483,RAJHATI-II
304,24 PARAGANAS SOUTH,108054,RAJIBPUR
303,24 PARAGANAS NORTH,107909,RAJIBPUR BIRA
307,BIRBHUM,108878,RAJNAGAR
318,MEDINIPUR WEST,110279,RAJNAGAR
316,MALDAH,109948,RAJNAGAR
306,PURBA BARDHAMAN,108634,RAJUR
312,HOOGHLY,109541,RAJYADHARPUR
321,PURULIA,111002,RAKHERA-BISPURIA
317,MEDINIPUR EAST,110102,RAMANI MOHAN MAITY
317,MEDINIPUR EAST,110117,RAMCHAK
304,24 PARAGANAS SOUTH,108007,RAMCHANDRAKHALI
305,BANKURA,108386,RAMCHANDRAPUR
310,DINAJPUR DAKSHIN,109245,RAMCHANDRAPUR
319,MURSHIDABAD,110672,RAMCHANDRAPUR
303,24 PARAGANAS NORTH,107796,RAMCHANDRAPUR UDAY
321,PURULIA,111119,RAMCHANDRAPUR-KOTALDI
312,HOOGHLY,109497,RAMESWARPUR-GOPALNAGAR
304,24 PARAGANAS SOUTH,108260,RAMGANGA
311,DINAJPUR UTTAR,109297,RAMGANJ-I
311,DINAJPUR UTTAR,109298,RAMGANJ-II
703,Jhargram,110232,RAMGARH
304,24 PARAGANAS SOUTH,108156,RAMGOPALPUR
304,24 PARAGANAS SOUTH,108270,RAMKARCHAR
304,24 PARAGANAS SOUTH,108173,RAMKISHORE
310,DINAJPUR DAKSHIN,109226,RAMKRISHNAPUR
304,24 PARAGANAS SOUTH,108174,RAMKRISHNAPUR
304,24 PARAGANAS SOUTH,108049,RAMKRISHNAPUR BORHANPUR
312,HOOGHLY,109470,RAMMOHAN-I
312,HOOGHLY,109471,RAMMOHAN-II
303,24 PARAGANAS NORTH,107893,RAMNAGAR
