location_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,localbody_code,localbody_name,village_code,village_name,village_status,census_2011_code
MED-WB-VIL-008318,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318075,Majhgram,Inhabitant,318075.0
MED-WB-VIL-008319,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318199,Majuria,Inhabitant,318199.0
MED-WB-VIL-008320,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108766,CHINPAI,318113,Mandarhati,Inhabitant,318113.0
MED-WB-VIL-008321,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318153,Mangalpur,Inhabitant,318153.0
MED-WB-VIL-008322,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108766,CHINPAI,318104,Maniram,Inhabitant,318104.0
MED-WB-VIL-008323,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318192,Matijapur,Inhabitant,318192.0
MED-WB-VIL-008324,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318151,Meje,Inhabitant,318151.0
MED-WB-VIL-008325,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318187,Metala,Inhabitant,318187.0
MED-WB-VIL-008326,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108771,LOBA,318194,Metegaon,Inhabitant,318194.0
MED-WB-VIL-008327,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318235,Metegram,Inhabitant,318235.0
MED-WB-VIL-008328,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318197,Milanchak,Inhabitant,318197.0
MED-WB-VIL-008329,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108766,CHINPAI,318091,Modapa,Inhabitant,318091.0
MED-WB-VIL-008330,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318141,Modipakri,Un-Inhabitant,318141.0
MED-WB-VIL-008331,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108774,SAHAPUR,318115,Mohammadnagar,Inhabitant,318115.0
MED-WB-VIL-008332,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108768,HETAMPUR,318225,Mohanpur (P),Inhabitant,318225.0
MED-WB-VIL-008333,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318180,Mukujmahal,Un-Inhabitant,318180.0
MED-WB-VIL-008334,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318188,Murgatala,Inhabitant,318188.0
MED-WB-VIL-008335,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108774,SAHAPUR,318116,Namsahapur,Inhabitant,318116.0
MED-WB-VIL-008336,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318276,Naoadangal,Inhabitant,318276.0
MED-WB-VIL-008337,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108766,CHINPAI,318093,Narayanpur,Inhabitant,318093.0
MED-WB-VIL-008338,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318278,Nejani,Un-Inhabitant,318278.0
MED-WB-VIL-008339,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318198,Neurghar,Un-Inhabitant,318198.0
MED-WB-VIL-008340,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108768,HETAMPUR,318212,Noapara,Inhabitant,318212.0
MED-WB-VIL-008341,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108769,JASHPUR,318251,Pachhiara,Inhabitant,318251.0
MED-WB-VIL-008342,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318069,Padampur,Un-Inhabitant,318069.0
MED-WB-VIL-008343,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318272,Paduma,Inhabitant,318272.0
MED-WB-VIL-008344,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318195,Palashban,Inhabitant,318195.0
MED-WB-VIL-008345,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108771,LOBA,318237,Palashdanga,Inhabitant,318237.0
MED-WB-VIL-008346,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318265,Palsara,Inhabitant,318265.0
MED-WB-VIL-008347,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318157,Panch Pukhuria,Un-Inhabitant,318157.0
